meetingName,meetingDate,raceNumber,runnerNumber,Unnamed: 0,location,weatherCondition,trackCondition,raceName,raceStartTime,raceDistance,trackDirection,raceClassConditions,runnerName,riderName,finishingPosition,FixedWinOpen,FixedWinClose,overall (runner starts),track (runner starts),firm (runner starts),good (runner starts),dead (runner starts),slow (runner starts),soft (runner starts),heavy (runner starts),distance (runner starts),classSame (runner starts),classStronger (runner starts),firstUp (runner starts),secondUp (runner starts),trackDistance (runner starts),overall (runner wins),track (runner wins),firm (runner wins),good (runner wins),dead (runner wins),slow (runner wins),soft (runner wins),heavy (runner wins),distance (runner wins),classSame (runner wins),classStronger (runner wins),firstUp (runner wins),secondUp (runner wins),trackDistance (runner wins),overall (runner placings),track (runner placings),firm (runner placings),good (runner placings),dead (runner placings),slow (runner placings),soft (runner placings),heavy (runner placings),distance (runner placings),classSame (runner placings),classStronger (runner placings),firstUp (runner placings),secondUp (runner placings),trackDistance (runner placings),track (trainer starts),region (trainer starts),last30Days (trainer starts),last12Months (trainer starts),jockey (trainer starts),track (trainer wins),region (trainer wins),last30Days (trainer wins),last12Months (trainer wins),jockey (trainer wins),track (trainer placings),region (trainer placings),last30Days (trainer placings),last12Months (trainer placings),jockey (trainer placings),track (rider starts),region (rider starts),last30Days (rider starts),last12Months (rider starts),runner (rider starts),track (rider wins),region (rider wins),last30Days (rider wins),last12Months (rider wins),runner (rider wins),track (rider placings),region (rider placings),last30Days (rider placings),last12Months (rider placings),runner (rider placings)
SANDOWN,02/02/2022 12:00:00 AM,4,4,,,SHWRY,GOOD3,LADBROKES BLENDED MULTIS HANDICAP,02/02/2022 05:25:00 PM,1200,,3Y+CL1,CRYSTAL CHIEF,Damian Lane,0.0,5.5,5.0,6,0,0,4,6,0,2,0,4,1,4,3,3,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,2,0,0,1,2,0,1,0,1,0,2,1,1,0,0,29,34,72,27,0,5,2,13,2,0,3,11,16,8,52,412,93,829,0,6,55,12,135,0,14,97,33,229,0
SANDOWN,02/02/2022 12:00:00 AM,4,7,,,SHWRY,GOOD3,LADBROKES BLENDED MULTIS HANDICAP,02/02/2022 05:25:00 PM,1200,,3Y+CL1,SIDE BET,Mark Zahra,4.0,5.5,4.2,3,0,0,3,2,0,0,0,3,0,0,2,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,2,0,0,2,1,0,0,0,2,0,0,2,0,0,5,76,16,307,2,0,3,2,33,0,1,18,6,80,1,20,144,29,205,0,4,25,3,41,0,3,37,6,47,0
SANDOWN,02/02/2022 12:00:00 AM,4,6,,,SHWRY,GOOD3,LADBROKES BLENDED MULTIS HANDICAP,02/02/2022 05:25:00 PM,1200,,3Y+CL1,NOTTARIS,Ethan Brown,0.0,8.5,11.0,6,0,0,4,5,0,2,0,4,0,0,4,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,2,12,4,44,5,0,1,1,6,3,0,3,1,9,0,6,41,46,158,1,0,3,5,22,1,0,5,13,31,0
SANDOWN,02/02/2022 12:00:00 AM,4,1,,,SHWRY,GOOD3,LADBROKES BLENDED MULTIS HANDICAP,02/02/2022 05:25:00 PM,1200,,3Y+CL1,NETANYAHU,Damien Oliver,2.0,5.0,3.4,6,0,0,4,0,1,1,1,2,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,3,0,1,1,0,1,0,1,1,1,0,17,150,29,440,57,3,15,2,53,12,3,34,11,113,23,49,404,40,605,0,6,46,7,79,0,11,106,14,162,0
SANDOWN,02/02/2022 12:00:00 AM,5,15,,,SHWRY,GOOD3,STUD AND STABLE STAFF AWARDS HANDICAP,02/02/2022 06:00:00 PM,3000,,BM-70,OZYMANDIAS,R.TAN,0.0,126.0,251.0,35,0,0,17,19,9,13,5,4,3,0,2,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,5,23,288,2,0,0,1,3,0,0,0,0,15,0,0,7,31,224,2,0,0,0,4,0,0,2,0,33,0
SANDOWN,02/02/2022 12:00:00 AM,5,3,,,SHWRY,GOOD3,STUD AND STABLE STAFF AWARDS HANDICAP,02/02/2022 06:00:00 PM,3000,,BM-70,SKYT,D.LANE,4.0,9.5,9.5,15,3,0,9,9,3,5,1,2,4,2,4,3,0,3,0,0,2,2,1,1,0,1,1,1,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,10,46,14,155,0,1,6,2,20,0,2,3,1,31,0,52,412,93,829,0,6,55,12,135,0,14,97,33,229,0
SANDOWN,02/02/2022 12:00:00 AM,5,11,,,SHWRY,GOOD3,STUD AND STABLE STAFF AWARDS HANDICAP,02/02/2022 06:00:00 PM,3000,,BM-70,SLICKBACK TEDDY,B.MC DOUGALL,0.0,15.0,17.0,9,1,0,6,8,0,3,0,1,1,0,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,1,0,1,1,0,1,1,0,13,79,30,412,8,2,6,5,49,3,5,13,8,104,5,11,89,73,825,1,0,8,8,122,0,0,8,20,216,1
SANDOWN,02/02/2022 12:00:00 AM,5,2,,,SHWRY,GOOD3,STUD AND STABLE STAFF AWARDS HANDICAP,02/02/2022 06:00:00 PM,3000,,BM-70,BLANDFORD LAD,M.J.ZAHRA,0.0,8.0,8.0,34,5,0,16,17,9,14,4,2,8,14,4,4,0,5,1,0,1,2,3,4,0,0,1,1,0,0,0,7,0,0,2,3,3,4,1,0,3,2,1,0,0,7,55,19,210,2,1,3,3,26,0,0,11,5,42,2,20,144,29,205,0,4,25,3,41,0,3,37,6,47,0
SANDOWN,02/02/2022 12:00:00 AM,5,9,,,SHWRY,GOOD3,STUD AND STABLE STAFF AWARDS HANDICAP,02/02/2022 06:00:00 PM,3000,,BM-70,HARD SQUEEZE,Patrick Moloney,-2.0,11.0,14.0,16,2,0,13,10,1,3,0,0,0,2,3,3,0,2,0,0,1,2,0,1,0,0,0,0,1,0,0,2,0,0,2,1,0,0,0,0,0,0,0,1,0,30,191,52,589,10,2,12,4,43,1,6,42,13,135,2,15,134,60,706,2,0,9,5,85,1,3,21,16,144,0
SANDOWN,02/02/2022 12:00:00 AM,5,8,,,SHWRY,GOOD3,STUD AND STABLE STAFF AWARDS HANDICAP,02/02/2022 06:00:00 PM,3000,,BM-70,ETHERIDGE,Craig Williams,0.0,7.0,5.5,30,1,0,18,17,7,9,3,0,6,10,8,6,0,3,0,0,1,0,1,1,1,0,0,1,1,1,0,7,1,0,3,3,4,4,0,0,1,2,0,3,0,0,0,4,38,0,0,0,0,5,0,0,0,1,10,0,46,327,36,526,1,7,33,5,79,0,16,96,11,140,1
